Date,Open,High,Low,Close
2020-12-31,3723.03,3760.2,3723.03,3756.07
2021-01-08,3764.61,3826.69,3662.71,3824.68
2021-01-15,3803.14,3823.6,3749.62,3768.25
2021-01-22,3781.88,3861.45,3780.37,3841.47
2021-01-29,3851.68,3870.9,3694.12,3714.24
2021-02-05,3731.17,3894.56,3725.62,3886.83
2021-02-12,3892.59,3937.23,3884.94,3934.83
2021-02-19,3939.61,3950.43,3885.03,3906.71
2021-02-26,3885.55,3928.65,3789.54,3811.15
2021-03-05,3842.51,3914.5,3723.34,3841.94
2021-03-12,3844.39,3960.27,3819.25,3943.34
2021-03-19,3942.96,3983.87,3886.75,3913.1
2021-03-26,3916.48,3978.19,3853.5,3974.54
2021-04-01,3969.31,4020.63,3943.25,4019.87
2021-04-09,4034.44,4129.48,4034.44,4128.8
2021-04-16,4124.71,4191.31,4114.82,4185.47
2021-04-23,4179.8,4194.17,4118.38,4180.17
2021-04-30,4185.03,4218.78,4174.85,4181.17
2021-05-07,4191.98,4238.04,4128.59,4232.6
2021-05-14,4074.99,4183.13,4074.99,4173.85
2021-05-21,4169.92,4188.72,4061.41,4155.86
2021-05-28,4170.16,4218.36,4170.16,4204.11
2021-06-04,4216.52,4234.12,4167.93,4229.89
2021-06-11,4229.34,4249.74,4208.41,4247.44
2021-06-18,4248.31,4257.16,4164.4,4166.45
2021-06-25,4173.4,4286.12,4173.4,4280.7
2021-07-02,4284.9,4355.43,4274.67,4352.34
2021-07-09,4356.46,4371.6,4289.37,4369.55
2021-07-16,4372.41,4393.68,4322.53,4327.16
2021-07-23,4296.4,4415.18,4233.13,4411.79
2021-07-30,4409.58,4429.97,4372.51,4395.26
2021-08-06,4406.86,4440.82,4373.0,4436.52
2021-08-13,4437.77,4468.37,4424.74,4468.0
2021-08-20,4461.65,4480.26,4367.73,4441.67
2021-08-27,4450.29,4513.33,4450.29,4509.37
2021-09-03,4513.76,4545.85,4513.76,4535.43
2021-09-10,4535.38,4535.38,4457.66,4458.58
2021-09-17,4474.81,4492.99,4427.76,4432.99
2021-09-24,4402.95,4465.4,4305.91,4455.48
2021-10-01,4442.12,4457.3,4288.52,4357.04
2021-10-08,4348.84,4429.97,4278.94,4391.34
2021-10-15,4385.44,4475.82,4329.92,4471.37
2021-10-22,4463.72,4559.67,4447.47,4544.9
2021-10-29,4553.69,4608.08,4537.36,4605.38
2021-11-05,4610.62,4718.5,4595.06,4697.53
2021-11-12,4701.48,4714.92,4630.86,4682.85
2021-11-19,4689.3,4717.75,4672.78,4697.96
2021-11-26,4712.0,4743.83,4585.43,4594.62
2021-12-03,4628.75,4672.95,4495.12,4538.43
2021-12-10,4548.37,4713.57,4540.51,4712.02
2021-12-17,4710.3,4731.99,4600.22,4620.64
2021-12-23,4587.9,4740.74,4531.1,4725.79
2021-12-31,4733.99,4808.93,4733.99,4766.18
2022-01-07,4778.14,4818.62,4662.74,4677.03
2022-01-14,4655.34,4748.83,4582.24,4662.85
2022-01-21,4632.24,4632.24,4395.34,4397.94
2022-01-28,4356.32,4453.23,4222.62,4431.85
2022-02-04,4431.79,4595.31,4414.02,4500.53
2022-02-11,4505.75,4590.03,4401.41,4418.64
2022-02-18,4412.61,4489.55,4327.22,4348.87
2022-02-25,4332.74,4385.34,4114.65,4384.65
2022-03-04,4354.17,4416.78,4279.54,4328.87
2022-03-11,4327.01,4327.01,4157.87,4204.31
2022-03-18,4202.75,4465.4,4161.72,4463.12
2022-03-25,4462.4,4546.03,4424.3,4543.06
2022-04-01,4541.09,4637.3,4507.57,4545.86
2022-04-08,4547.97,4593.45,4450.04,4488.28
2022-04-14,4462.64,4471.0,4381.34,4392.59
2022-04-22,4385.63,4512.94,4267.62,4271.78
2022-04-29,4255.34,4308.45,4124.28,4131.93
2022-05-06,4130.61,4307.66,4062.51,4123.34
2022-05-13,4081.27,4081.27,3858.87,4023.89
