week_20190520,Date,Open,High,Low,Close
38,2020-02-14,10130.340959857143,10277.796735428574,9936.399414142857,10105.893833857144
39,2020-02-21,9766.246093714286,9899.184849285713,9586.772461142858,9764.019949857144
40,2020-02-28,9113.711356142858,9183.577009,8812.477818142857,8918.759207714287
41,2020-03-06,8869.370675142858,9007.655413142857,8676.483259,8804.583007857143
42,2020-03-13,6806.996442714286,7070.6651090000005,6058.480189857143,6410.282923999999
43,2020-03-20,5634.867327,6000.034598285715,5355.127232142856,5697.691476
44,2020-03-27,6444.8817661428575,6624.676757714286,6261.226492999999,6454.665318142857
45,2020-04-03,6542.651088142858,6784.017229428571,6451.634067999999,6665.847307571428
46,2020-04-10,7086.895298714286,7249.603585428572,6950.782575142856,7111.435965428572
47,2020-04-17,6966.382951857143,7100.707240571429,6851.088867285715,6998.521972571428
48,2020-04-24,7231.744001142857,7389.806710428572,7162.369071,7301.416852714286
49,2020-05-01,8372.317940857143,8735.074986142858,8291.376046285715,8544.726213857142
50,2020-05-08,9349.450195142857,9561.377232142857,9049.972098285714,9332.714006857143
51,2020-05-15,9126.442661857143,9462.507394,8982.28976,9255.133231142858
52,2020-05-22,9446.929827142858,9560.85100442857,9191.587611571429,9320.369837999999
53,2020-05-29,9197.913504714286,9381.522042285713,9091.134486571429,9292.76464842857
54,2020-06-05,9704.902483285714,9909.077567142858,9517.279436428571,9747.498884
55,2020-06-12,9639.657226857144,9711.688337142856,9480.202985714288,9585.996372857144
56,2020-06-19,9412.547712142858,9477.778739142857,9266.923270142857,9400.68736042857
57,2020-06-26,9338.363978857144,9437.430943285714,9184.736746571429,9315.527204285714
58,2020-07-03,9148.271763285713,9226.85016757143,9051.07324242857,9139.18819742857
59,2020-07-10,9270.707031428572,9359.747070428572,9179.988002285714,9304.243861571429
60,2020-07-17,9198.684012285714,9242.074358142856,9134.927734571427,9186.877511142857
61,2020-07-24,9436.74162942857,9587.714285714286,9393.438616,9537.818219714285
62,2020-07-31,11018.144810285714,11460.15527342857,10790.437779142856,11178.864536714285
63,2020-08-07,11480.63420757143,11718.796177714286,11339.909877285714,11572.89927457143
64,2020-08-14,11706.42117757143,11938.820452,11502.254882857143,11740.72600442857
65,2020-08-21,11863.30552457143,11989.456473428572,11676.046316999998,11831.636160571428
66,2020-08-28,11523.549386,11647.613002142856,11367.30468757143,11530.480329142856
67,2020-09-04,11096.392856999999,11263.317522285713,10697.744001000001,10896.051758142858
68,2020-09-11,10322.582170714284,10465.622768000001,10110.649135142858,10324.77260042857
69,2020-09-18,10822.706612857144,11020.151227428569,10707.962053714286,10911.269810285714
70,2020-09-25,10626.057896142856,10745.705496714287,10437.351423,10603.668945285714
71,2020-10-02,10695.821707714287,10789.858259,10565.325334857143,10679.017578142857
72,2020-10-09,10861.242885142858,11027.289620857144,10783.003348285714,10961.057338285715
73,2020-10-16,11425.419922000001,11538.146623857143,11289.897460857143,11438.529017857143
74,2020-10-23,12423.844587,12805.05468742857,12322.321289,12645.532645142857
75,2020-10-30,13399.622628428571,13710.924804857144,13145.376813714285,13500.465959857143
76,2020-11-06,14478.724190714285,14999.475586,14092.18791857143,14727.649693
77,2020-11-13,15780.934709857143,16051.54673557143,15478.59249442857,15848.919503571427
78,2020-11-20,17595.850585714285,18215.916294857143,17294.60728257143,17945.166015571427
79,2020-11-27,18079.395089428574,18557.07700885714,17436.832589285714,18051.090122999998
80,2020-12-04,19017.041852857143,19504.587611571427,18565.575613714285,19182.063058285716
81,2020-12-11,18647.26534614286,18920.633928571428,18213.37220985714,18619.518136285715
82,2020-12-18,21274.287109428573,22209.398995571428,20999.934151714286,21894.938337
83,2020-12-25,24020.090122857142,25051.38923014286,23439.907087,24419.647042428573
84,2021-01-01,28580.595703285715,30043.821707571427,28243.44363857143,29510.480468857142
85,2021-01-08,36580.014788,38534.450893,34393.330078,37366.906808142856
86,2021-01-15,36749.30357157143,38092.26506728572,33866.18164085715,36398.29854928572
87,2021-01-22,34271.67773442857,35300.43136185715,32332.58482157143,33776.58733271428
88,2021-01-29,32933.56668528572,34506.99079242857,31397.653738714285,32933.59375
89,2021-02-05,36279.118303714284,37900.250000142856,35696.890346142856,37108.483259
90,2021-02-12,45560.434152,48013.97265628572,44463.423549428575,46976.106027
91,2021-02-19,51660.16071428572,53739.16294685714,50696.195870714284,52928.761719
92,2021-02-26,50000.15569214286,51188.27287957143,45932.99944214286,48213.844866142856
93,2021-03-05,48579.23883942857,50587.10993328572,47284.84430828572,49450.85993328572
94,2021-03-12,55802.85714314286,57680.843750142856,54308.61551342857,56965.972098428574
95,2021-03-19,57902.81975457143,59251.11383942857,55513.28794657143,57660.80524557143
96,2021-03-26,54608.90066957143,56203.933035857146,53146.233259,54401.155134
97,2021-04-02,58236.571428714284,59513.80301342857,57466.34765628572,58632.75558042857
98,2021-04-09,58377.971540428574,59635.00334828572,57423.015625142856,58552.33314728572
99,2021-04-16,61736.46093757143,62986.34933014285,59519.57310271428,61184.772879714284
100,2021-04-23,53591.06863857143,54363.540178714284,50825.05078128572,52573.49051357143
101,2021-04-30,54587.43080385715,56471.38169642857,53543.101562714284,55663.42689728572
102,2021-05-07,56738.86216542857,58534.899553714284,55273.274553714284,56963.835937714284
103,2021-05-14,52400.455915428574,53922.847098428574,49186.67633928572,50646.83984371428
104,2021-05-21,40728.861607428575,42533.937500142856,35790.67299128572,39120.57142857143
105,2021-05-28,37143.472098142855,39037.90346,35468.565290428574,37261.595982142855
106,2021-06-04,36987.56696428572,38095.985491142856,35594.575335,37015.78125
107,2021-06-11,35689.17745542857,37288.57924128572,34079.327566857144,36152.261718857146
108,2021-06-18,38210.199218857146,39001.232142857145,36800.49386157143,37732.389509
109,2021-06-25,33143.33286842857,34539.61690857143,31136.36411857143,33005.93136157143
110,2021-07-02,34595.52008942857,35379.88002242857,33670.620536,34681.205915428574
111,2021-07-09,33900.73270114286,34580.64508942857,33081.09737728572,33753.231026857145
112,2021-07-16,32529.135602714287,32956.23493328572,31616.245535714286,32173.195591571428
113,2021-07-23,32109.0625,33093.94866071428,31508.679966571428,32610.451729857148
114,2021-07-30,39406.19140628572,41189.20479928572,38427.52343757143,40083.63448657143
115,2021-08-06,40759.516183142856,42101.044643,39636.888950857145,41306.057477857146
116,2021-08-13,45799.486049,47049.589843857146,44686.719866428575,46272.804129714284
117,2021-08-20,46757.76450914286,48084.467634,45962.561384,47112.13281257143
118,2021-08-27,48637.47321442857,49564.53013371428,47592.92745542857,48563.73939757143
119,2021-09-03,48714.606585,49995.171875142856,48055.512835,49159.97600442857
120,2021-09-10,47643.588727857146,48502.375000142856,45503.31863842857,46868.01618285714
121,2021-09-17,47083.936942,48005.024553714284,46148.02176357143,47260.19642857143
122,2021-09-24,43566.95870528572,44550.37946442857,41380.91964314286,42967.423549142855
123,2021-10-01,43955.082031428574,45653.573660857146,43334.193638714285,44664.844866
124,2021-10-08,52413.414620714284,54275.15457614286,51688.422991142856,53357.54241071428
125,2021-10-15,57930.732701,59752.20591528572,56652.07421871428,58898.31640657143
126,2021-10-22,62597.09319214286,63934.97712057143,60993.777343857146,62501.11383957143
127,2021-10-29,61066.30580357143,62598.013393,59774.392299142855,61134.842076
128,2021-11-05,61794.81696442857,62965.88058042857,60684.717076,62090.46149557143
129,2021-11-12,65186.214285857146,66634.91294657144,63771.455357142855,65510.87946442857
130,2021-11-19,60640.565848428574,61427.184709857145,58489.21707614286,59653.787946714285
131,2021-11-26,56750.34430828572,58031.356026857145,55034.05189742857,56149.53850457143
132,2021-12-03,55526.559709857145,56504.59933057143,52646.674665428574,54383.91908471428
133,2021-12-10,49339.23883942857,50718.73883942857,48039.011718857146,49451.96819228572
134,2021-12-17,47833.09096,48706.33091528572,46320.11383928572,47095.74274557143
135,2021-12-24,49035.17745528572,50252.39676342857,48452.80971,49613.073102857146
136,2021-12-31,48108.42689742857,48973.87723228572,47020.123326,47598.65513414286
137,2022-01-07,44245.28962085715,44805.92857157143,42874.29631714286,43469.867187714284
138,2022-01-14,42755.92410757143,43446.08537957143,41931.86160728572,42926.96651814286
139,2022-01-21,40243.54520114286,40826.824777,38559.13113857143,39259.328683142856
140,2022-01-28,37112.00167428572,37923.043526857145,36003.281250142856,37348.40011171428
141,2022-02-04,38883.20479928572,39946.76395114286,38204.591518,39526.92243328572
142,2022-02-11,43275.13337042857,44225.877232142855,42444.260602857146,43244.65178571428
143,2022-02-18,41993.63839328572,42517.452567,40763.220424142855,41463.78627242857
144,2022-02-25,38243.05078128572,39322.877232142855,37026.185826,38145.66294657143
145,2022-03-04,41456.300781428574,42762.762834857145,40230.419085,41554.564732428575
146,2022-03-11,39189.32198685715,40257.81361628572,38229.248325857145,39109.763393
147,2022-03-18,40416.839285857146,41291.94029028572,39797.99832614286,40905.782924142855
148,2022-03-25,42913.00446442857,44023.930803714284,42647.121094,43708.67801357143
149,2022-04-01,46591.44698685715,47462.04296914285,45963.878348428574,46542.747767857145
150,2022-04-08,44341.42020114286,44766.92857142857,43323.17633928572,43738.10379471428
151,2022-04-15,40561.148437714284,41106.548549428575,39676.575892857145,40206.604910857146
152,2022-04-22,40452.22879457143,41176.95814742857,39748.701451,40418.15011171428
153,2022-04-29,39052.92857157143,39737.05245542857,38097.33761157143,38912.073102857146
154,2022-05-06,37508.954799142855,37950.63225442857,36233.23995557143,36879.34765628572
155,2022-05-13,30385.960937571428,31612.860212,28825.091517714285,29999.06417414286
